epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,238.453,0.50297,1.13925,1.0425,1,0.52877,0.94509,0.89485,0.37386,2.91605,0.9614,0.00025848,0.00025848,0.00025848
74,241.719,0.45315,1.14111,1.0121,1,0.52877,0.94509,0.89485,0.37386,2.91605,0.9614,0.000253036,0.000253036,0.000253036
75,245.009,0.49138,1.27078,1.07507,0.99082,0.8086,0.95158,0.89645,0.37171,2.82275,0.96567,0.000247345,0.000247345,0.000247345
76,248.211,0.52361,1.07947,1.05305,0.99082,0.8086,0.95158,0.89645,0.37171,2.82275,0.96567,0.000241406,0.000241406,0.000241406
77,251.424,0.50889,1.10718,1.03337,0.99082,0.8086,0.95158,0.89645,0.37171,2.82275,0.96567,0.00023522,0.00023522,0.00023522
78,254.656,0.60671,1.2244,1.09328,0.97581,0.8819,0.95636,0.90316,0.36268,2.71213,0.95954,0.000228786,0.000228786,0.000228786
79,257.91,0.46243,1.08593,1.05625,0.97581,0.8819,0.95636,0.90316,0.36268,2.71213,0.95954,0.000222105,0.000222105,0.000222105
80,261.144,0.56795,1.23094,1.03597,0.97581,0.8819,0.95636,0.90316,0.36268,2.71213,0.95954,0.000215176,0.000215176,0.000215176
81,264.444,0.53613,1.10571,1.02612,0.95865,0.90126,0.95971,0.90004,0.35659,2.61843,0.9503,0.000208,0.000208,0.000208
82,267.619,0.51838,1.12429,1.03521,0.95865,0.90126,0.95971,0.90004,0.35659,2.61843,0.9503,0.000200576,0.000200576,0.000200576
83,270.78,0.44566,1.09417,1.02634,0.95865,0.90126,0.95971,0.90004,0.35659,2.61843,0.9503,0.000192905,0.000192905,0.000192905
84,274.234,0.58122,1.22996,1.12337,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.000184986,0.000184986,0.000184986
85,277.657,0.44261,1.07234,1.02457,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.00017682,0.00017682,0.00017682
86,280.927,0.5062,1.16804,1.08577,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.000168406,0.000168406,0.000168406
87,284.215,0.44373,1.04398,1.0029,0.95838,0.90858,0.96423,0.91814,0.36135,2.52022,0.94593,0.000159745,0.000159745,0.000159745
88,287.578,0.63737,1.22453,1.18702,0.95401,0.91448,0.96773,0.92405,0.3531,2.40741,0.92787,0.000150836,0.000150836,0.000150836
89,290.823,0.53165,1.10495,1.08575,0.95401,0.91448,0.96773,0.92405,0.3531,2.40741,0.92787,0.00014168,0.00014168,0.00014168
90,294.03,0.39978,0.99075,0.94924,0.95401,0.91448,0.96773,0.92405,0.3531,2.40741,0.92787,0.000132276,0.000132276,0.000132276
91,297.268,0.38794,1.49378,0.95675,0.95401,0.91448,0.96773,0.92405,0.3531,2.40741,0.92787,0.000122625,0.000122625,0.000122625
92,300.534,0.30702,1.23036,0.91848,0.95971,0.91244,0.97278,0.92922,0.33293,2.31191,0.90326,0.000112726,0.000112726,0.000112726
93,303.754,0.36596,1.28739,0.9729,0.95971,0.91244,0.97278,0.92922,0.33293,2.31191,0.90326,0.00010258,0.00010258,0.00010258
94,306.98,0.37212,1.41379,0.96774,0.95971,0.91244,0.97278,0.92922,0.33293,2.31191,0.90326,9.21862e-05,9.21862e-05,9.21862e-05
95,310.189,0.41728,1.39658,1.09161,0.95971,0.91244,0.97278,0.92922,0.33293,2.31191,0.90326,8.1545e-05,8.1545e-05,8.1545e-05
96,313.412,0.31436,1.25332,0.92833,0.96694,0.904,0.97625,0.94731,0.31189,2.20663,0.88607,7.06563e-05,7.06563e-05,7.06563e-05
97,316.654,0.36956,1.32196,0.97937,0.96694,0.904,0.97625,0.94731,0.31189,2.20663,0.88607,5.952e-05,5.952e-05,5.952e-05
98,319.836,0.37371,1.33256,0.94311,0.96694,0.904,0.97625,0.94731,0.31189,2.20663,0.88607,4.81363e-05,4.81363e-05,4.81363e-05
99,323.025,0.31166,1.27041,0.86713,0.96694,0.904,0.97625,0.94731,0.31189,2.20663,0.88607,3.6505e-05,3.6505e-05,3.6505e-05
100,326.235,0.36367,1.21523,0.94195,0.97058,0.89936,0.98667,0.96184,0.29921,2.09164,0.87547,2.46263e-05,2.46263e-05,2.46263e-05
1,3.51818,0.96613,3.25924,1.39925,0.00558,0.9,0.24663,0.16203,0.80596,3.8468,1.36135,0,0,0
1,3.36549,0.9828,3.88179,1.53172,0.00559,0.9,0.25296,0.16727,0.80206,3.84769,1.35788,0,0,0
2,6.68963,1.22321,4.0285,1.73517,0.00584,0.9,0.23493,0.14396,0.78105,3.8363,1.35092,1.12625e-05,1.12625e-05,1.12625e-05
3,9.98647,1.20138,3.98641,1.71174,0.0059,0.9,0.21199,0.14289,0.75843,3.83484,1.31953,2.005e-05,2.005e-05,2.005e-05
4,13.3593,1.16568,3.92962,1.63566,0.00585,0.9,0.22289,0.16016,0.72656,3.82791,1.29431,2.63625e-05,2.63625e-05,2.63625e-05
5,16.6552,0.97866,3.95513,1.47834,0.00592,0.9,0.27974,0.20444,0.72919,3.80308,1.30024,3.02e-05,3.02e-05,3.02e-05
6,19.9612,0.87377,3.78042,1.39834,0.00587,0.9,0.25537,0.19106,0.72097,3.79946,1.2836,3.15625e-05,3.15625e-05,3.15625e-05
7,23.2048,0.73101,3.65106,1.30514,0.00582,0.9,0.26421,0.20767,0.71841,3.77834,1.27657,3.045e-05,3.045e-05,3.045e-05
8,26.4235,0.77638,3.7726,1.32963,0.00649,0.95,0.2738,0.21312,0.71576,3.76721,1.26741,2.68625e-05,2.68625e-05,2.68625e-05
9,29.6754,0.85576,3.72175,1.42244,0.00659,0.95,0.27918,0.20975,0.70413,3.76382,1.25352,2.08e-05,2.08e-05,2.08e-05
10,32.9328,0.84431,3.59819,1.33458,0.00664,0.95,0.28186,0.21154,0.6997,3.76641,1.24833,1.22625e-05,1.22625e-05,1.22625e-05
1,3.43177,0.96613,3.25924,1.39925,0.00558,0.9,0.24663,0.16203,0.80596,3.8468,1.36135,0,0,0
2,6.75844,1.09751,3.34823,1.534,0.00588,0.9,0.24717,0.16011,0.79239,3.82664,1.34789,1.22938e-05,1.22938e-05,1.22938e-05
3,10.2671,1.0724,3.37433,1.46639,0.0061,0.9,0.25093,0.1618,0.76545,3.78877,1.34014,2.4175e-05,2.4175e-05,2.4175e-05
4,13.6396,1.03954,3.2127,1.41216,0.00653,0.9,0.23037,0.16296,0.73649,3.79367,1.32862,3.56437e-05,3.56437e-05,3.56437e-05
5,16.9887,0.94981,3.18717,1.38154,0.00687,0.9,0.222,0.16194,0.70968,3.78325,1.30533,4.67e-05,4.67e-05,4.67e-05
6,20.3826,0.88499,3.20233,1.31422,0.00722,0.9,0.24332,0.17387,0.69148,3.75516,1.29035,5.73438e-05,5.73438e-05,5.73438e-05
7,23.7379,1.04313,3.2132,1.51115,0.00836,0.95,0.27239,0.19039,0.639,3.74672,1.25171,6.7575e-05,6.7575e-05,6.7575e-05
8,27.0869,0.9212,3.12791,1.36548,0.008,0.95,0.31457,0.2265,0.61193,3.73659,1.22197,7.73938e-05,7.73938e-05,7.73938e-05
9,30.4315,0.92163,3.11246,1.39132,0.00771,0.95,0.37409,0.27005,0.55991,3.73811,1.17612,8.68e-05,8.68e-05,8.68e-05
10,33.7886,0.9354,3.10477,1.35041,0.00731,0.95,0.38078,0.29641,0.51008,3.69053,1.14699,9.57937e-05,9.57937e-05,9.57937e-05
11,37.1383,0.89037,3.09429,1.3808,0.00742,0.95,0.37725,0.31442,0.49135,3.67193,1.13321,0.000104375,0.000104375,0.000104375
12,40.4924,0.91154,3.05586,1.39907,0.0076,0.95,0.41361,0.33277,0.48296,3.66337,1.11034,0.000112544,0.000112544,0.000112544
13,43.8531,0.7592,2.90567,1.25938,0.00813,0.95,0.41479,0.3491,0.48525,3.66565,1.09992,0.0001203,0.0001203,0.0001203
14,47.1784,0.71519,3.05069,1.26399,0.0085,0.95,0.42762,0.35927,0.46674,3.65665,1.08491,0.000127644,0.000127644,0.000127644
15,50.6163,0.68427,2.82233,1.18749,0.0091,0.95,0.44299,0.35915,0.46536,3.65439,1.06229,0.000134575,0.000134575,0.000134575
16,53.9476,0.64106,2.88548,1.14491,0.01065,0.95,0.4458,0.36757,0.47113,3.64744,1.04944,0.000141094,0.000141094,0.000141094
17,57.2976,0.87363,2.87821,1.32291,0.01124,0.95,0.45872,0.38656,0.48179,3.64399,1.04319,0.0001472,0.0001472,0.0001472
18,60.626,0.61465,2.69494,1.08273,0.01124,0.95,0.45872,0.38656,0.48179,3.64399,1.04319,0.000152894,0.000152894,0.000152894
19,64.0814,0.66616,2.70285,1.15152,0.01318,0.95,0.47502,0.40239,0.47522,3.63811,1.04273,0.000158175,0.000158175,0.000158175
20,67.4985,0.63124,2.66362,1.14508,0.01318,0.95,0.47502,0.40239,0.47522,3.63811,1.04273,0.000163044,0.000163044,0.000163044
21,70.8926,0.81244,2.72549,1.28881,0.01366,0.95,0.51993,0.44016,0.43327,3.61919,1.01097,0.0001675,0.0001675,0.0001675
22,74.272,0.64093,2.53342,1.18737,0.01366,0.95,0.51993,0.44016,0.43327,3.61919,1.01097,0.000171544,0.000171544,0.000171544
23,77.6753,0.76553,2.67621,1.25545,0.01337,0.95,0.60293,0.52518,0.39716,3.58798,0.96211,0.000175175,0.000175175,0.000175175
24,81.0665,0.64501,2.50938,1.10478,0.01337,0.95,0.60293,0.52518,0.39716,3.58798,0.96211,0.000178394,0.000178394,0.000178394
25,84.4572,0.60289,2.54913,1.14609,0.01341,0.95,0.67545,0.5927,0.38739,3.56413,0.94075,0.0001812,0.0001812,0.0001812
26,87.8402,0.62362,2.45888,1.11768,0.01341,0.95,0.67545,0.5927,0.38739,3.56413,0.94075,0.000183594,0.000183594,0.000183594
27,91.2589,0.61619,2.48795,1.12631,0.01442,0.95,0.74691,0.64743,0.39306,3.5458,0.93285,0.000185575,0.000185575,0.000185575
28,94.6892,0.57809,2.50168,1.15934,0.01442,0.95,0.74691,0.64743,0.39306,3.5458,0.93285,0.000187144,0.000187144,0.000187144
29,98.0572,0.6798,2.32209,1.08655,0.01479,0.95,0.77109,0.6661,0.39263,3.53626,0.93859,0.0001883,0.0001883,0.0001883
30,101.381,0.78499,2.29987,1.24391,0.01479,0.95,0.77109,0.6661,0.39263,3.53626,0.93859,0.000189044,0.000189044,0.000189044
31,104.852,0.53361,2.29545,1.08736,0.01445,0.95,0.80995,0.70851,0.38704,3.50658,0.94701,0.000189375,0.000189375,0.000189375
32,108.155,0.70619,2.35656,1.2581,0.01445,0.95,0.80995,0.70851,0.38704,3.50658,0.94701,0.000189294,0.000189294,0.000189294
33,111.527,0.59895,2.32274,1.1031,0.01555,0.95,0.82792,0.73547,0.37543,3.4913,0.94025,0.0001888,0.0001888,0.0001888
34,114.834,0.61731,2.32441,1.14981,0.01555,0.95,0.82792,0.73547,0.37543,3.4913,0.94025,0.000187894,0.000187894,0.000187894
35,118.246,0.59823,2.13864,1.11796,0.01616,0.95,0.81708,0.73263,0.36209,3.46412,0.92615,0.000186575,0.000186575,0.000186575
36,121.564,0.68302,2.0842,1.15501,0.01616,0.95,0.81708,0.73263,0.36209,3.46412,0.92615,0.000184844,0.000184844,0.000184844
37,124.934,0.60345,2.19808,1.12933,0.01609,0.95,0.80182,0.71285,0.36843,3.45164,0.92656,0.0001827,0.0001827,0.0001827
38,128.468,0.59187,2.04178,1.08045,0.01609,0.95,0.80182,0.71285,0.36843,3.45164,0.92656,0.000180144,0.000180144,0.000180144
39,131.931,0.55204,1.97471,1.07772,0.01634,0.95,0.80458,0.72989,0.36915,3.4477,0.93991,0.000177175,0.000177175,0.000177175
40,135.335,0.56892,1.97558,1.04456,0.01634,0.95,0.80458,0.72989,0.36915,3.4477,0.93991,0.000173794,0.000173794,0.000173794
41,138.749,0.62285,1.93545,1.12706,0.01502,0.95,0.80349,0.73594,0.38507,3.43455,0.95129,0.00017,0.00017,0.00017
42,142.155,0.52633,1.84807,1.00217,0.01502,0.95,0.80349,0.73594,0.38507,3.43455,0.95129,0.000165794,0.000165794,0.000165794
43,145.495,0.60147,1.83064,1.05538,0.01309,0.95,0.81347,0.74471,0.39814,3.41054,0.95825,0.000161175,0.000161175,0.000161175
44,148.858,0.6832,1.90469,1.15106,0.01309,0.95,0.81347,0.74471,0.39814,3.41054,0.95825,0.000156144,0.000156144,0.000156144
45,152.172,0.61527,2.1199,1.15137,0.0129,0.95,0.84388,0.77406,0.40184,3.38537,0.96872,0.0001507,0.0001507,0.0001507
46,155.512,0.65569,1.83912,1.14786,0.0129,0.95,0.84388,0.77406,0.40184,3.38537,0.96872,0.000144844,0.000144844,0.000144844
47,158.896,0.59711,1.77529,1.12037,0.01408,0.95,0.87736,0.82123,0.38162,3.35942,0.94945,0.000138575,0.000138575,0.000138575
48,162.218,0.44917,1.69983,1.01517,0.01408,0.95,0.87736,0.82123,0.38162,3.35942,0.94945,0.000131894,0.000131894,0.000131894
49,165.579,0.49507,1.79307,1.09166,0.01524,0.95,0.91572,0.85415,0.36616,3.32675,0.94141,0.0001248,0.0001248,0.0001248
50,168.944,0.56941,1.60229,1.04701,0.01524,0.95,0.91572,0.85415,0.36616,3.32675,0.94141,0.000117294,0.000117294,0.000117294
51,172.308,0.4927,1.94025,1.08567,0.01568,0.95,0.94516,0.87171,0.37304,3.29877,0.95233,0.000109375,0.000109375,0.000109375
52,175.708,0.52127,1.74446,1.08793,0.01568,0.95,0.94516,0.87171,0.37304,3.29877,0.95233,0.000101044,0.000101044,0.000101044
53,179.024,0.49613,1.73937,1.04997,0.01568,0.95,0.94516,0.87171,0.37304,3.29877,0.95233,9.23e-05,9.23e-05,9.23e-05
